,Cnd,Rec,Brc
1,0.057053,0.08377699999999998,0.037657
2,0.083958,0.13565899999999997,0.32908200000000004
3,0.12729000000000001,0.1987709999999998,1.266692
4,0.15758500000000009,0.28095799999999826,26.690589000000003
5,0.24174800000000118,0.4438509999999951,1799.7370930000002
6,0.31034699999986515,0.6249080000000049,22127.227752
7,0.5017569999999978,0.9804340000000593,inf
8,0.7473840000000109,1.5560829999999441,inf
9,1.3020590000000993,2.604190000000017,inf
10,2.3474220000000514,4.6481189999999515,inf
11,4.345829000000094,8.668948999999884,inf
12,8.407204999999976,16.716216999999915,inf
13,16.211203999999952,34.26895300000001,inf
14,33.57497199999989,66.75023099999999,inf
15,70.65566200000012,137.44582599999967,inf
